ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/6/2024 - 1,0.3,"3,105.8","1,049.1",15.2,"7,182.2",8.5,0.8,-0.6,959.4,"2,332.2",0.6,-0.2,0.1,270.4,19.6,0.1,0.1,1.2,1.0,-0.1,-0.4,15.1,-0.3,0.0,0.0,0.0,16.0,0.0,0.0
05/6/2024 - 2,0.3,"3,359.3","1,056.5",15.0,"7,061.0",5.7,0.8,-0.6,999.1,"2,410.4",0.5,-0.2,0.1,72.7,3.8,0.0,1.0,1.5,6.2,-0.1,-0.5,15.4,-0.3,0.0,0.2,0.3,16.5,0.2,0.0
05/6/2024 - 3,0.3,"3,132.1","1,053.6",19.0,"7,146.6",14.9,1.0,-0.6,971.3,"2,319.3",0.5,-0.2,0.1,225.7,18.5,0.1,0.7,1.5,2.0,-0.1,-0.6,15.3,-0.3,0.0,0.0,0.0,16.3,0.1,0.0
05/6/2024 - 4,0.3,"3,354.0","1,048.6",15.4,"7,108.6",-0.4,0.8,-0.5,994.0,"2,354.5",0.4,-0.2,0.0,67.5,2.5,0.0,0.3,1.2,2.3,-0.1,-0.6,14.9,-0.4,0.0,0.1,0.1,14.0,0.0,0.0
05/6/2024 - 5,0.3,"3,111.0","1,035.6",18.6,"7,024.1",11.2,0.8,-0.6,996.5,"2,309.5",0.7,-0.2,0.1,195.8,18.5,0.1,0.2,1.8,1.7,-0.1,-0.6,14.9,-0.4,0.0,0.0,0.0,17.4,0.1,0.0
05/6/2024 - 6,0.3,"3,379.6","1,030.5",24.9,"6,915.5",1.5,0.7,-0.4,"1,054.9","2,312.9",0.5,-0.2,0.1,50.3,2.3,0.0,1.4,2.2,9.0,-0.1,-0.6,14.7,-0.4,0.0,0.3,0.3,16.1,0.8,0.0
05/6/2024 - 7,0.2,"3,094.4","1,053.1",27.6,"7,084.9",17.7,0.8,-0.4,"1,114.6","2,412.0",0.8,-0.2,0.1,617.0,237.7,0.4,3.5,3.1,8.4,-0.1,-0.7,15.7,-0.4,0.0,0.1,0.1,27.3,1.2,0.0
05/6/2024 - 8,0.2,"3,256.8","1,064.3",16.3,"7,129.2",0.2,0.8,-0.5,"1,105.7","2,443.7",0.4,-0.2,0.1,80.5,143.3,0.1,0.2,1.4,2.3,-0.1,-0.7,15.8,-0.4,0.0,0.0,0.0,24.7,0.0,0.0
05/6/2024 - 9,0.3,"3,249.5","1,141.6",0.3,"7,495.6",-2.4,0.8,-0.6,"1,162.4","2,578.8",0.3,-0.3,0.2,-17.8,0.5,0.0,0.0,0.7,-1.2,-0.1,-0.1,16.7,-0.5,0.0,0.0,0.0,19.3,-0.1,0.0
05/6/2024 - 10,0.2,"3,255.5","1,055.0",14.5,"7,055.4",-0.4,0.8,-0.4,"1,107.5","2,424.0",0.4,-0.2,0.1,36.2,186.6,0.2,0.4,1.3,43.4,-0.1,-0.6,16.0,-0.4,0.0,0.0,0.0,25.7,0.1,0.0
05/6/2024 - 11,0.2,"3,040.7","1,053.6",17.9,"7,140.5",16.6,0.8,-0.6,"1,084.3","2,425.3",0.6,-0.2,0.1,771.4,308.1,0.5,0.2,2.2,1.3,-0.1,-0.5,15.7,-0.3,0.0,0.0,0.0,28.7,0.1,0.0
05/6/2024 - 12,0.2,"3,318.0","1,080.9",13.2,"7,196.8",-0.6,1.0,-0.5,"1,124.6","2,477.0",0.4,-0.2,0.1,44.4,219.6,0.2,0.2,1.4,18.1,-0.1,-0.4,16.1,-0.3,0.0,0.0,0.0,27.2,0.0,0.0
05/6/2024 - 13,0.2,"3,019.5","1,052.0",20.1,"7,139.4",17.2,0.9,-0.6,"1,087.6","2,439.4",0.5,-0.2,0.1,885.4,356.1,0.6,0.2,2.3,1.1,-0.1,-0.7,15.8,-0.4,0.0,0.0,0.0,30.0,0.1,0.0
05/6/2024 - 14,0.3,"3,337.9","1,062.7",24.7,"7,081.2",5.4,1.0,-0.3,"1,156.0","2,483.2",0.5,-0.3,0.1,72.4,237.6,0.3,3.4,1.9,9.4,-0.1,-0.7,16.0,-0.3,0.0,0.1,0.1,28.2,0.4,0.0
05/6/2024 - 15,0.7,"3,640.7",995.1,69.4,"11,309.2",13.8,0.3,-0.7,"1,199.7","2,672.7",1.8,-0.1,0.1,91.9,19.3,0.1,0.2,0.1,0.2,-0.2,-0.5,17.4,-0.4,0.0,0.0,0.0,19.9,0.3,0.0
05/6/2024 - 16,0.7,"4,448.4","1,025.4",18.7,"11,338.3",11.4,0.2,-0.5,"1,156.7","2,765.2",0.8,-0.2,0.1,9.4,7.1,0.0,0.3,0.0,0.1,-0.2,-0.5,17.5,-0.4,0.0,0.0,0.0,15.5,0.2,0.0
05/6/2024 - 19,0.1,"2,293.8",790.2,41.7,"5,731.7",12.7,0.3,-0.6,"1,374.5","1,688.7",0.8,-0.1,0.1,324.9,52.8,0.2,0.3,0.5,20.3,-0.1,-0.6,11.6,-0.4,0.0,0.0,0.0,19.4,0.1,0.0
05/6/2024 - 20,0.1,"2,831.5",775.9,20.0,"5,593.3",1.1,0.3,-0.5,"1,265.8","1,644.3",0.3,-0.2,4.3,131.6,2.6,0.1,5.2,0.7,5.1,-0.1,-0.6,10.9,-0.4,0.0,0.0,0.0,8.7,0.2,0.0
05/6/2024 - 21,0.1,"2,226.5",786.0,28.0,"5,497.0",23.9,0.2,-0.7,"1,338.7","1,719.6",0.5,-0.2,0.1,244.5,54.4,0.1,0.2,0.2,1.2,-0.1,-0.6,11.9,-0.4,0.0,0.0,0.0,20.6,0.1,0.0
05/6/2024 - 22,0.1,"3,101.5",804.1,14.9,"5,589.1",1.2,0.4,-0.5,"1,213.2","1,777.3",0.3,-0.2,0.1,76.2,1.6,0.0,0.2,0.2,2.2,-0.1,-0.5,11.6,-0.4,0.0,0.0,0.0,11.1,0.1,0.0
05/6/2024 - 23,0.1,"2,233.2",790.5,21.7,"5,490.7",7.2,0.5,-0.7,"1,382.6","1,704.6",0.5,-0.2,0.1,300.8,129.4,0.2,0.2,0.7,2.3,-0.1,-0.4,11.9,-0.3,0.0,0.0,0.0,24.2,0.1,0.0
